msp_name	LV15	HV26	HV17	LV9	HV14	HV7	LV7	HV30	HV29	HV15	LV16	LV1	LV11	HV16	HV6	LV23	LV4	LV22	HV3	LV13	LV8	LV24	HV12	HV13	LV6	HV9	LV12	HV23	HV31	LV14
msp_0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
msp_0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
msp_0003	0.0	0.0002994653203171	0.0015893198255545	0.0	0.0002569861783987	0.0035759024889902	0.0002931727008038	0.0099071254352142	0.0	0.0002224499513378	0.0	0.0008627641348391	0.0017013594555647	0.0009809684064266	0.0003399023655249	0.0531903507482791	0.0018631995169236	0.0002324884932473	0.0030723305917632	0.0003842174168828	0.0002463950685417	0.0024125146730901	0.0085920626873663	0.0019799445890589	0.0	0.0002278146119998	0.0003988226259947	0.0057787919517925	0.0002345300823706	0.0
msp_0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
msp_0005	0.1245348923615981	0.0278452579828069	0.0003556260200328	0.0003178229972988	0.0056031765186287	0.0003800976394038	0.0004315831101242	0.0053114616837467	0.0007758008150326	0.0006290016175961	0.0006980785083251	0.000400520732095	0.000618658046845	0.000392022941538	0.0132925193724321	0.0203955859362921	0.0020139809761406	0.0005576313519174	0.0029027319407239	0.0010229332068933	0.0092898782873096	0.0194638914318922	0.000591192309783	0.0002255899275186	0.0102064085854822	0.0003415876947929	0.0080844153991038	0.0032521746106577	0.0010586446411424	0.0012102167981465
msp_0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
msp_0007	0.0022738697646258	0.0023698489874227	0.0021730425876876	0.0194520109596288	0.0005751531479253	0.0033457929614232	0.053444697533617	0.0073151968241312	0.0005005183872667	0.0012993757262644	0.0420763538183566	0.0239942594802449	0.0003246674264102	0.0042035995895435	0.0040089179501148	0.0312931476940299	0.0006585581001669	0.0002979775460912	0.1160649702794874	0.0005567858721154	0.0006585800335228	0.0085424971625112	0.0726041084542586	0.0045871542962617	0.0	0.0016968907360609	0.0004657726272921	0.0073786785688406	0.0053066252423726	0.000575087235599
msp_0008	0.0003164909373714	0.0004751267469148	0.0	0.0	0.0	0.0219865179984209	0.0095396311975872	0.0105112578070042	0.0001730621526218	0.0	0.0	0.0002803914024152	0.0013230514320471	0.0122178277269532	0.0011082443529783	0.0004510298011906	0.0	0.0002090912444459	0.0008709242044402	0.0	0.000231928126126	0.0	0.0002307781990582	0.0019429232131316	0.0	0.0	0.0	0.0035281503262382	0.0002987351961016	0.0
msp_0009	0.0035171298256533	0.0003487249670898	0.0003166406323977	0.0	0.0003972378888476	0.0004301175526644	0.0115967859867523	0.0003134847990276	0.0	0.000285681929636	0.0007852693958796	0.0014318550971787	0.0	0.0003557341946539	0.0003527081422424	0.0007163329120618	0.0	0.0549487042776804	0.0021152497846098	0.0004421543322419	0.0	0.0008339565771636	0.000529831481627	0.0002552861271878	0.0	0.0	0.0002108522790291	0.0	0.0003847608894341	0.001080859817139
msp_0010	0.3199757396974705	0.0003156173840319	0.0087481173801972	0.0005601203584831	0.00032940590111	0.0001796561157193	0.0229030616295923	0.0002943034062207	0.0001290046685716	0.0002698566243638	0.0	0.0026368707250545	0.0001804774977341	0.0019426961059944	0.0002517788480244	0.0223424978348114	0.0001708607305799	0.0002165729505861	0.0	0.0056508642827013	0.011540646808962	0.058648243836221	0.002854664761084	0.000277394267413	0.2219181273948023	0.0	0.015788447872034	0.0005225921668269	0.0004360887033276	0.0122192997030995
msp_0011	0.0011462264349203	0.0048084964450398	0.0096567796605373	0.00918582480555	0.001059730671151	0.008654809198264	0.005011685903684	0.0018157481298162	0.0003508933737316	0.0007174975527117	0.0163485601406869	0.0185889858037944	0.0010910218186188	0.0064304759762749	0.0015249254983162	0.0314530398922201	0.0024147130541051	0.0002494430218382	0.0070675889029341	0.0010106342499068	0.0022444439981414	0.0091826033846532	0.0124764923615301	0.0024280034965203	0.0	0.0030633961095233	0.0002094197456616	0.0015967956454011	0.0015569743658714	0.1690495075886632
